alexnet,cifar10,2020-11-05T22:28:05Z,2020-11-05T22:28:25Z
alexnet,cifar100,2020-11-05T22:28:26Z,2020-11-05T22:28:46Z
vgg11,cifar10,2020-11-05T22:29:25Z,2020-11-05T22:31:24Z
vgg11,cifar100,2020-11-05T22:31:25Z,2020-11-05T22:33:25Z
vgg11_bn,cifar10,2020-11-05T22:34:04Z,2020-11-05T22:36:11Z
vgg11_bn,cifar100,2020-11-05T22:36:12Z,2020-11-05T22:38:19Z
vgg13,cifar10,2020-11-05T22:38:58Z,2020-11-05T22:41:55Z
vgg13,cifar100,2020-11-05T22:41:56Z,2020-11-05T22:44:53Z
vgg13_bn,cifar10,2020-11-05T22:45:31Z,2020-11-05T22:48:42Z
vgg13_bn,cifar100,2020-11-05T22:48:43Z,2020-11-05T22:51:52Z
vgg16,cifar10,2020-11-05T22:52:32Z,2020-11-05T22:56:20Z
vgg16,cifar100,2020-11-05T22:56:21Z,2020-11-05T23:00:08Z
vgg16_bn,cifar10,2020-11-05T23:00:49Z,2020-11-05T23:04:51Z
vgg16_bn,cifar100,2020-11-05T23:04:52Z,2020-11-05T23:08:53Z
vgg19,cifar10,2020-11-05T23:09:35Z,2020-11-05T23:14:15Z
vgg19,cifar100,2020-11-05T23:14:16Z,2020-11-05T23:18:55Z
vgg19_bn,cifar10,2020-11-05T23:19:29Z,2020-11-05T23:24:24Z
vgg19_bn,cifar100,2020-11-05T23:24:25Z,2020-11-05T23:29:19Z
resnet18,cifar10,2020-11-05T23:29:24Z,2020-11-05T23:30:15Z
resnet18,cifar100,2020-11-05T23:30:16Z,2020-11-05T23:31:07Z
resnet34,cifar10,2020-11-05T23:31:17Z,2020-11-05T23:32:44Z
resnet34,cifar100,2020-11-05T23:32:45Z,2020-11-05T23:34:13Z
resnet50,cifar10,2020-11-05T23:34:22Z,2020-11-05T23:38:37Z
resnet50,cifar100,2020-11-05T23:38:38Z,2020-11-05T23:42:53Z
resnet101,cifar10,2020-11-05T23:43:08Z,2020-11-05T23:50:52Z
resnet101,cifar100,2020-11-05T23:50:53Z,2020-11-05T23:58:36Z
resnet152,cifar10,2020-11-05T23:59:13Z,2020-11-06T00:10:25Z
resnet152,cifar100,2020-11-06T00:10:26Z,2020-11-06T00:21:37Z
squeezenet1_0,cifar10,2020-11-06T00:21:38Z,2020-11-06T00:22:28Z
squeezenet1_0,cifar100,2020-11-06T00:22:29Z,2020-11-06T00:23:18Z
squeezenet1_1,cifar10,2020-11-06T00:23:20Z,2020-11-06T00:23:48Z
squeezenet1_1,cifar100,2020-11-06T00:23:49Z,2020-11-06T00:24:18Z
densenet121,cifar10,2020-11-06T00:24:22Z,2020-11-06T00:27:43Z
densenet121,cifar100,2020-11-06T00:27:44Z,2020-11-06T00:31:05Z
densenet169,cifar10,2020-11-06T00:31:11Z,2020-11-06T00:35:29Z
densenet169,cifar100,2020-11-06T00:35:30Z,2020-11-06T00:39:49Z
densenet161,cifar10,2020-11-06T00:39:59Z,2020-11-06T00:48:49Z
densenet161,cifar100,2020-11-06T00:48:50Z,2020-11-06T00:57:39Z
densenet201,cifar10,2020-11-06T00:57:48Z,2020-11-06T01:03:37Z
densenet201,cifar100,2020-11-06T01:03:37Z,2020-11-06T01:09:26Z
inception_v3,cifar10,2020-11-06T01:09:33Z,2020-11-06T01:12:37Z
inception_v3,cifar100,2020-11-06T01:12:38Z,2020-11-06T01:15:41Z
googlenet,cifar10,2020-11-06T01:15:46Z,2020-11-06T01:17:04Z
googlenet,cifar100,2020-11-06T01:17:05Z,2020-11-06T01:18:22Z
shufflenet_v2_x0_5,cifar10,2020-11-06T01:18:24Z,2020-11-06T01:18:38Z
shufflenet_v2_x0_5,cifar100,2020-11-06T01:18:39Z,2020-11-06T01:18:53Z
shufflenet_v2_x1_0,cifar10,2020-11-06T01:18:55Z,2020-11-06T01:19:25Z
shufflenet_v2_x1_0,cifar100,2020-11-06T01:19:26Z,2020-11-06T01:19:56Z
mobilenet_v2,cifar10,2020-11-06T01:19:58Z,2020-11-06T01:21:13Z
mobilenet_v2,cifar100,2020-11-06T01:21:14Z,2020-11-06T01:22:28Z
resnext50_32x4d,cifar10,2020-11-06T01:22:37Z,2020-11-06T01:29:05Z
resnext50_32x4d,cifar100,2020-11-06T01:29:06Z,2020-11-06T01:35:35Z
resnext101_32x8d,cifar10,2020-11-06T01:36:03Z,2020-11-06T02:00:00Z
resnext101_32x8d,cifar100,2020-11-06T02:00:11Z,2020-11-06T02:24:09Z
wide_resnet50_2,cifar10,2020-11-06T02:24:33Z,2020-11-06T02:33:25Z
wide_resnet50_2,cifar100,2020-11-06T02:33:26Z,2020-11-06T02:42:17Z
wide_resnet101_2,cifar10,2020-11-06T02:42:43Z,2020-11-06T02:59:25Z
wide_resnet101_2,cifar100,2020-11-06T02:59:26Z,2020-11-06T03:16:05Z
mnasnet0_5,cifar10,2020-11-06T03:16:07Z,2020-11-06T03:16:44Z
mnasnet0_5,cifar100,2020-11-06T03:16:45Z,2020-11-06T03:17:22Z
mnasnet1_0,cifar10,2020-11-06T03:17:24Z,2020-11-06T03:18:40Z
mnasnet1_0,cifar100,2020-11-06T03:18:41Z,2020-11-06T03:19:57Z
