1,16,3,1,10.321903
1,16,3,2,10.370591
1,16,3,4,5.245061
1,16,3,8,2.687157
1,16,3,16,2.685678
1,16,3,32,2.696733
1,16,3,64,2.684042
2,16,3,1,7.895339
2,16,3,2,4.589357
2,16,3,4,2.962301
2,16,3,8,2.148649
2,16,3,16,1.657461
2,16,3,32,1.368370
2,16,3,64,1.079396
4,16,3,1,7.216121
4,16,3,2,4.273768
4,16,3,4,2.774267
4,16,3,8,1.948366
4,16,3,16,1.579638
4,16,3,32,1.215706
4,16,3,64,1.049845
1,16,5,1,20.570754
1,16,5,2,10.372021
1,16,5,4,10.375911
1,16,5,8,5.253150
1,16,5,16,5.247219
1,16,5,32,5.249745
1,16,5,64,5.254435
2,16,5,1,11.428633
2,16,5,2,7.112761
2,16,5,4,4.535738
2,16,5,8,3.106790
2,16,5,16,2.315640
2,16,5,32,1.844166
2,16,5,64,1.581709
4,16,5,1,11.237636
4,16,5,2,6.515928
4,16,5,4,4.099729
4,16,5,8,2.902743
4,16,5,16,2.257323
4,16,5,32,1.857692
4,16,5,64,1.608015
1,16,7,1,20.555126
1,16,7,2,10.366056
1,16,7,4,10.383415
1,16,7,8,10.377307
1,16,7,16,5.256664
1,16,7,32,5.251966
1,16,7,64,5.245225
2,16,7,1,14.999995
2,16,7,2,9.755099
2,16,7,4,6.190162
2,16,7,8,4.208188
2,16,7,16,2.930704
2,16,7,32,2.410509
2,16,7,64,2.202557
4,16,7,1,15.103884
4,16,7,2,8.724074
4,16,7,4,5.514260
4,16,7,8,3.797247
4,16,7,16,3.010002
4,16,7,32,2.411141
4,16,7,64,2.083596
