alexnet,cifar10,2020-11-05T22:25:32Z,2020-11-05T22:25:57Z
alexnet,cifar100,2020-11-05T22:25:58Z,2020-11-05T22:26:22Z
vgg11,cifar10,2020-11-05T22:26:39Z,2020-11-05T22:29:01Z
vgg11,cifar100,2020-11-05T22:29:02Z,2020-11-05T22:31:24Z
vgg11_bn,cifar10,2020-11-05T22:31:45Z,2020-11-05T22:34:35Z
vgg11_bn,cifar100,2020-11-05T22:34:37Z,2020-11-05T22:37:26Z
vgg13,cifar10,2020-11-05T22:37:44Z,2020-11-05T22:41:14Z
vgg13,cifar100,2020-11-05T22:41:16Z,2020-11-05T22:44:47Z
vgg13_bn,cifar10,2020-11-05T22:45:04Z,2020-11-05T22:49:23Z
vgg13_bn,cifar100,2020-11-05T22:49:25Z,2020-11-05T22:53:44Z
vgg16,cifar10,2020-11-05T22:54:01Z,2020-11-05T22:58:22Z
vgg16,cifar100,2020-11-05T22:58:23Z,2020-11-05T23:02:43Z
vgg16_bn,cifar10,2020-11-05T23:03:01Z,2020-11-05T23:08:14Z
vgg16_bn,cifar100,2020-11-05T23:08:16Z,2020-11-05T23:13:29Z
vgg19,cifar10,2020-11-05T23:13:47Z,2020-11-05T23:18:56Z
vgg19,cifar100,2020-11-05T23:18:58Z,2020-11-05T23:24:08Z
vgg19_bn,cifar10,2020-11-05T23:24:27Z,2020-11-05T23:30:33Z
vgg19_bn,cifar100,2020-11-05T23:30:35Z,2020-11-05T23:36:41Z
resnet18,cifar10,2020-11-05T23:36:45Z,2020-11-05T23:37:54Z
resnet18,cifar100,2020-11-05T23:37:55Z,2020-11-05T23:39:04Z
resnet34,cifar10,2020-11-05T23:39:11Z,2020-11-05T23:40:59Z
resnet34,cifar100,2020-11-05T23:41:00Z,2020-11-05T23:42:49Z
resnet50,cifar10,2020-11-05T23:42:57Z,2020-11-05T23:48:24Z
resnet50,cifar100,2020-11-05T23:48:25Z,2020-11-05T23:53:52Z
resnet101,cifar10,2020-11-05T23:54:07Z,2020-11-06T00:03:29Z
resnet101,cifar100,2020-11-06T00:03:30Z,2020-11-06T00:12:52Z
resnet152,cifar10,2020-11-06T00:13:10Z,2020-11-06T00:26:40Z
resnet152,cifar100,2020-11-06T00:26:41Z,2020-11-06T00:40:10Z
squeezenet1_0,cifar10,2020-11-06T00:40:12Z,2020-11-06T00:41:30Z
squeezenet1_0,cifar100,2020-11-06T00:41:32Z,2020-11-06T00:42:49Z
squeezenet1_1,cifar10,2020-11-06T00:42:51Z,2020-11-06T00:43:37Z
squeezenet1_1,cifar100,2020-11-06T00:43:38Z,2020-11-06T00:44:25Z
densenet121,cifar10,2020-11-06T00:44:28Z,2020-11-06T00:49:50Z
densenet121,cifar100,2020-11-06T00:49:51Z,2020-11-06T00:55:11Z
densenet169,cifar10,2020-11-06T00:55:15Z,2020-11-06T01:01:59Z
densenet169,cifar100,2020-11-06T01:02:00Z,2020-11-06T01:08:42Z
densenet161,cifar10,2020-11-06T01:08:49Z,2020-11-06T01:21:24Z
densenet161,cifar100,2020-11-06T01:21:25Z,2020-11-06T01:34:00Z
densenet201,cifar10,2020-11-06T01:34:06Z,2020-11-06T01:43:13Z
densenet201,cifar100,2020-11-06T01:43:15Z,2020-11-06T01:52:20Z
inception_v3,cifar10,2020-11-06T01:52:37Z,2020-11-06T01:56:23Z
inception_v3,cifar100,2020-11-06T01:56:24Z,2020-11-06T02:00:11Z
googlenet,cifar10,2020-11-06T02:00:14Z,2020-11-06T02:02:09Z
googlenet,cifar100,2020-11-06T02:02:10Z,2020-11-06T02:04:05Z
shufflenet_v2_x0_5,cifar10,2020-11-06T02:04:07Z,2020-11-06T02:04:33Z
shufflenet_v2_x0_5,cifar100,2020-11-06T02:04:34Z,2020-11-06T02:04:59Z
shufflenet_v2_x1_0,cifar10,2020-11-06T02:05:00Z,2020-11-06T02:05:54Z
shufflenet_v2_x1_0,cifar100,2020-11-06T02:05:56Z,2020-11-06T02:06:50Z
mobilenet_v2,cifar10,2020-11-06T02:06:52Z,2020-11-06T02:08:44Z
mobilenet_v2,cifar100,2020-11-06T02:08:45Z,2020-11-06T02:10:36Z
resnext50_32x4d,cifar10,2020-11-06T02:10:42Z,2020-11-06T02:19:25Z
resnext50_32x4d,cifar100,2020-11-06T02:19:26Z,2020-11-06T02:28:11Z
resnext101_32x8d,cifar10,2020-11-06T02:28:27Z,2020-11-06T02:57:08Z
resnext101_32x8d,cifar100,2020-11-06T02:57:10Z,2020-11-06T03:25:50Z
wide_resnet50_2,cifar10,2020-11-06T03:26:00Z,2020-11-06T03:36:27Z
wide_resnet50_2,cifar100,2020-11-06T03:36:29Z,2020-11-06T03:46:56Z
wide_resnet101_2,cifar10,2020-11-06T03:47:17Z,2020-11-06T04:06:12Z
wide_resnet101_2,cifar100,2020-11-06T04:06:17Z,2020-11-06T04:25:12Z
mnasnet0_5,cifar10,2020-11-06T04:25:14Z,2020-11-06T04:26:09Z
mnasnet0_5,cifar100,2020-11-06T04:26:10Z,2020-11-06T04:27:06Z
mnasnet1_0,cifar10,2020-11-06T04:27:08Z,2020-11-06T04:28:57Z
mnasnet1_0,cifar100,2020-11-06T04:28:58Z,2020-11-06T04:30:47Z
