alexnet,cifar10,2020-11-05T22:25:38Z,2020-11-05T22:25:59Z
alexnet,cifar100,2020-11-05T22:26:01Z,2020-11-05T22:26:23Z
vgg11,cifar10,2020-11-05T22:26:40Z,2020-11-05T22:28:59Z
1vgg11,cifar100,2020-11-05T22:29:01Z,2020-11-05T22:31:20Z
vgg11_bn,cifar10,2020-11-05T22:31:29Z,2020-11-05T22:34:17Z
vgg11_bn,cifar100,2020-11-05T22:34:19Z,2020-11-05T22:37:07Z
vgg13,cifar10,2020-11-05T22:37:27Z,2020-11-05T22:40:53Z
vgg13,cifar100,2020-11-05T22:40:55Z,2020-11-05T22:44:22Z
vgg13_bn,cifar10,2020-11-05T22:44:43Z,2020-11-05T22:48:56Z
vgg13_bn,cifar100,2020-11-05T22:48:58Z,2020-11-05T22:53:12Z
vgg16,cifar10,2020-11-05T22:53:34Z,2020-11-05T22:57:49Z
vgg16,cifar100,2020-11-05T22:57:51Z,2020-11-05T23:02:06Z
vgg16_bn,cifar10,2020-11-05T23:02:24Z,2020-11-05T23:07:31Z
vgg16_bn,cifar100,2020-11-05T23:07:33Z,2020-11-05T23:12:40Z
vgg19,cifar10,2020-11-05T23:12:59Z,2020-11-05T23:18:02Z
vgg19,cifar100,2020-11-05T23:18:05Z,2020-11-05T23:23:08Z
vgg19_bn,cifar10,2020-11-05T23:23:27Z,2020-11-05T23:29:28Z
vgg19_bn,cifar100,2020-11-05T23:29:30Z,2020-11-05T23:35:31Z
resnet18,cifar10,2020-11-05T23:35:35Z,2020-11-05T23:36:41Z
resnet18,cifar100,2020-11-05T23:36:42Z,2020-11-05T23:37:47Z
resnet34,cifar10,2020-11-05T23:37:55Z,2020-11-05T23:39:40Z
resnet34,cifar100,2020-11-05T23:39:42Z,2020-11-05T23:41:28Z
resnet50,cifar10,2020-11-05T23:41:35Z,2020-11-05T23:46:55Z
resnet50,cifar100,2020-11-05T23:46:57Z,2020-11-05T23:52:17Z
resnet101,cifar10,2020-11-05T23:52:32Z,2020-11-06T00:01:46Z
resnet101,cifar100,2020-11-06T00:01:47Z,2020-11-06T00:11:01Z
resnet152,cifar10,2020-11-06T00:11:20Z,2020-11-06T00:24:38Z
resnet152,cifar100,2020-11-06T00:24:39Z,2020-11-06T00:37:57Z
squeezenet1_0,cifar10,2020-11-06T00:37:58Z,2020-11-06T00:39:11Z
squeezenet1_0,cifar100,2020-11-06T00:39:12Z,2020-11-06T00:40:25Z
squeezenet1_1,cifar10,2020-11-06T00:40:27Z,2020-11-06T00:41:10Z
squeezenet1_1,cifar100,2020-11-06T00:41:12Z,2020-11-06T00:41:54Z
densenet121,cifar10,2020-11-06T00:41:58Z,2020-11-06T00:46:58Z
densenet121,cifar100,2020-11-06T00:46:59Z,2020-11-06T00:51:59Z
densenet169,cifar10,2020-11-06T00:52:05Z,2020-11-06T00:58:21Z
densenet169,cifar100,2020-11-06T00:58:23Z,2020-11-06T01:04:40Z
densenet161,cifar10,2020-11-06T01:04:46Z,2020-11-06T01:16:34Z
densenet161,cifar100,2020-11-06T01:16:35Z,2020-11-06T01:28:25Z
densenet201,cifar10,2020-11-06T01:28:31Z,2020-11-06T01:36:51Z
densenet201,cifar100,2020-11-06T01:36:52Z,2020-11-06T01:45:13Z
inception_v3,cifar10,2020-11-06T01:45:30Z,2020-11-06T01:48:59Z
inception_v3,cifar100,2020-11-06T01:49:00Z,2020-11-06T01:52:28Z
googlenet,cifar10,2020-11-06T01:52:31Z,2020-11-06T01:54:16Z
googlenet,cifar100,2020-11-06T01:54:18Z,2020-11-06T01:56:02Z
shufflenet_v2_x0_5,cifar10,2020-11-06T01:56:04Z,2020-11-06T01:56:27Z
shufflenet_v2_x0_5,cifar100,2020-11-06T01:56:28Z,2020-11-06T01:56:49Z
shufflenet_v2_x1_0,cifar10,2020-11-06T01:56:51Z,2020-11-06T01:57:37Z
shufflenet_v2_x1_0,cifar100,2020-11-06T01:57:38Z,2020-11-06T01:58:23Z
mobilenet_v2,cifar10,2020-11-06T01:58:26Z,2020-11-06T02:00:11Z
mobilenet_v2,cifar100,2020-11-06T02:00:12Z,2020-11-06T02:01:57Z
resnext50_32x4d,cifar10,2020-11-06T02:02:03Z,2020-11-06T02:10:22Z
resnext50_32x4d,cifar100,2020-11-06T02:10:23Z,2020-11-06T02:18:42Z
resnext101_32x8d,cifar10,2020-11-06T02:19:01Z,2020-11-06T02:46:51Z
resnext101_32x8d,cifar100,2020-11-06T02:46:55Z,2020-11-06T03:14:48Z
wide_resnet50_2,cifar10,2020-11-06T03:14:59Z,2020-11-06T03:25:07Z
wide_resnet50_2,cifar100,2020-11-06T03:25:09Z,2020-11-06T03:35:17Z
wide_resnet101_2,cifar10,2020-11-06T03:35:36Z,2020-11-06T03:53:55Z
wide_resnet101_2,cifar100,2020-11-06T03:53:56Z,2020-11-06T04:12:16Z
mnasnet0_5,cifar10,2020-11-06T04:12:17Z,2020-11-06T04:13:10Z
mnasnet0_5,cifar100,2020-11-06T04:13:12Z,2020-11-06T04:14:05Z
mnasnet1_0,cifar10,2020-11-06T04:14:07Z,2020-11-06T04:15:51Z
mnasnet1_0,cifar100,2020-11-06T04:15:52Z,2020-11-06T04:17:36Z
